id,time,name,value
317,2020-04-17 01:00:44.841540,LSM9DS1 Y-Magnetometer,0.54
318,2020-04-17 01:00:44.841540,LSM9DS1 Z-Magnetometer,-0.251
319,2020-04-17 01:00:44.841540,LSM9DS1 X-Gyroscope,-0.175
320,2020-04-17 01:00:44.841540,LSM9DS1 Y-Gyroscope,-0.674
321,2020-04-17 01:00:44.841540,LSM9DS1 Z-Gyroscope,1.61
322,2020-04-17 01:00:44.841540,LSM9DS1 Temperature,6.5
323,2020-04-17 01:00:44.841540,LSM9DS1 X-Accelerometer Average,-0.05305696202531643
324,2020-04-17 01:00:44.841540,LSM9DS1 Y-Accelerometer Average,-0.5909936708860757
325,2020-04-17 01:00:44.841540,LSM9DS1 Z-Accelerometer Average,9.580683544303795
326,2020-04-17 01:00:46.224420,LSM9DS1 X-Accelerometer,-0.103
327,2020-04-17 01:00:46.224420,LSM9DS1 Y-Accelerometer,-0.577
328,2020-04-17 01:00:46.224420,LSM9DS1 Z-Accelerometer,9.67
329,2020-04-17 01:00:46.224420,LSM9DS1 X-Magnetometer,0.376
330,2020-04-17 01:00:46.224420,LSM9DS1 Y-Magnetometer,0.54
331,2020-04-17 01:00:46.224420,LSM9DS1 Z-Magnetometer,-0.258
332,2020-04-17 01:00:46.224420,LSM9DS1 X-Gyroscope,-0.236
333,2020-04-17 01:00:46.224420,LSM9DS1 Y-Gyroscope,-0.534
334,2020-04-17 01:00:46.224420,LSM9DS1 Z-Gyroscope,1.943
335,2020-04-17 01:00:46.224420,LSM9DS1 Temperature,6.5
336,2020-04-17 01:00:46.224420,LSM9DS1 X-Accelerometer Average,-0.052144654088050295
337,2020-04-17 01:00:46.224420,LSM9DS1 Y-Accelerometer Average,-0.5913396226415093
